filename,line
H-300-22014-831909.pdf,"None   High School/GED   Associate’s   Bachelor’s   Master's  or Higher    Other  degree  (JD, MD, etc.)"
H-300-22014-831909.pdf,b.  Driver requirements
H-300-22014-831909.pdf,d.  Drug screen
H-300-22014-831909.pdf,j.   Frequent stooping or bending over
H-300-22014-831909.pdf,"the work of  other employees? * Yes    No5b.  If “Yes” to question 5a, enter the n umber"
H-300-22014-831909.pdf,6.Additional Information Regarding Job Qualifications/ Requirements .
H-300-22014-831909.pdf,1. Address/Location  *
H-300-22014-831909.pdf,2. City * 3. State * 4. Postal Code * 5.County *
H-300-22014-831909.pdf,attached to this job order?  *Yes     No
H-300-22014-831909.pdf,1.Housing  Address/Location  *
H-300-22014-831909.pdf,2. City * 3. State * 4. Postal Code * 5.County *
H-300-22014-831909.pdf,9.Housing complies or will comply with the following applicable standards: * Local       State       Federal
H-300-22014-831909.pdf,workers attached to this job order?  *Yes     No
H-300-22014-831909.pdf,113 Dorothy Burnam Rd
H-300-22014-831909.pdf,This grower has several field location. They are located on the Farm Labor Contractor Work Order.
H-300-22014-831909.pdf,603 Four Acre rd
H-300-22014-831909.pdf,H-2A Agricultural Clearance Order
H-300-22014-831909.pdf,H-2A Case Number: ___________ _______ __      Case Status: __________________       Determination Date : ___________ __     Validity Period : ____________ _ to ___________ __ E. Provision of Meals
H-300-22014-831909.pdf,F. Transportation  and Daily Subsistence
H-300-22014-831909.pdf,"3.During the travel described in Item 2, the employer will pay  for"
H-300-22014-831909.pdf,"workers to and from laundry facility and food store once per week. Housing will meet; LOCAL, STATE, AND"
H-300-22014-831909.pdf,"prevailing practice in the area of intended employment. I assure you the homes meet local, state, and federal"
H-300-22014-831909.pdf,H-2A Agricultural Clearance Order
H-300-22014-831909.pdf,H-2A Case Number: ___________ _______ __      Case Status: __________________       Determination Date : ___________ __     Validity Period : ____________ _ to ___________ __ G. Referral and Hiring Instructions
H-300-22014-831909.pdf,"1. Explain how prospective applicants may be considered for employment under this job order, including  verifiable contact"
H-300-22014-831909.pdf,2. Telephone Number to Apply * 3. Email Address to Apply *
H-300-22014-831909.pdf,4. Website address (URL) to Apply *
H-300-22014-831909.pdf,job order?  *Yes     No
H-300-22014-831909.pdf,"that, after being hired, all workers social security will be verified by the social security administration. All local and"
H-300-22014-831909.pdf,intrastate applicants may apply direct to employer. All interstate applicants are encouraged but not required to first
H-300-22014-831909.pdf,contact the Job Order holding office prior to contacting the employer for any updated information regarding the job
H-300-22014-831909.pdf,"prior referral. For referrals from beyond normal commuting distance, an application may be sent to employer or a"
H-300-22014-831909.pdf,telephone interview may be requested.
H-300-22014-831909.pdf,"The employer will contact applicants who have applied by phone to conduct an interview. Prior to referral, each"
H-300-22014-831909.pdf,worker should either read or have read to them a copy of the Job Offer and that they understand all terms and
H-300-22014-831909.pdf,conditions of employment as noted in the order. All workers should also be advised that they will be expected to
H-300-22014-831909.pdf,listed activities at the discretion of the employer and workers must have transportation to the job site.
H-300-22014-831909.pdf,commuting distance recruited against this job order will not be provided housing and transportation.
H-300-22014-831909.pdf,rosiecardenas65@gmail.com
H-300-22014-831909.pdf,H-2A Agricultural Clearance Order
H-300-22014-831909.pdf,H-2A Case Number: ___________ _______ __      Case Status: __________________       Determination Date : ___________ __     Validity Period : ____________ _ to ___________ __ I. Conditions of Employment and Assurance s for H-2A Agricultural Clearance Orders
H-300-22014-831909.pdf,"By virtue of my signature below, I HEREBY CERTIFY  my knowledge of and compliance with applicable Federal, State, and local employment-"
H-300-22014-831909.pdf,1. JOB OPPORTUNITY :  Employer assures that the job opportunity identified in this clearance order (hereinafter also referred to as the “job
H-300-22014-831909.pdf,order”) is a full -time temporary position being placed with the SWA in connection with an H-2A Application for Temporary Employment
H-300-22014-831909.pdf,"Certification for H- 2A workers and this clearance order satisfies the requirements for agricultural clearance orders in 20 CFR 653, subpart F"
H-300-22014-831909.pdf,"CFR 655, Subpart B.  The job opportunity is open to any qualified U.S. worker regardless of race, color, national origin, age, sex, religion,"
H-300-22014-831909.pdf,"2. NO STRIKE, LOCKOUT, OR WORK STOPPAGE :  Employer assures that  this job opportunity, including all worksites for which the"
H-300-22014-831909.pdf,employer is requesting H-2A labor certification does not currently have workers  on strike or being locked out in the course of a labor
H-300-22014-831909.pdf,"local, State, or Feder al standards and is sufficient to house the specified number of workers requested through the clearance system .  The"
H-300-22014-831909.pdf,"incidentals related to housing (e.g., utilities) must not be levied upon workers.  However, the employer may  require workers to reimburse"
H-300-22014-831909.pdf,them for damage caused to housing by the individual worker(s) found to have been responsible for damage which is not the result of normal
H-300-22014-831909.pdf,"family housing, the employer agrees to provide family housing at no cost to workers with families who request it. 20 CFR 655.122(d),"
H-300-22014-831909.pdf,Request for Conditional Access  to Intrastate or Interstate Clearance System :  Employer assures that the housing disclosed on this
H-300-22014-831909.pdf,"clearance order will be in full compliance with all applicable local, State, or Federal standards at least 20 calendar days before the housing"
H-300-22014-831909.pdf,State law covering injury and disease arising out of and in the course of the worker's employment.  If the type of employment for which the
H-300-22014-831909.pdf,"certification is sought is not covered by or is exempt from the State's workers' compensation law, the employer agrees to provide, at no cost"
H-300-22014-831909.pdf,least equal to those provided under the State workers' compensation law for other comparable employment.  20 CFR 655.122(e).
H-300-22014-831909.pdf,"workers that will enable the workers to prepare their own meals.  Where the employer provides the meals, the job offer will state the charge,"
H-300-22014-831909.pdf,"For workers engaged in the herding or production of livestock on the range, the employer agrees to provide each worker, without charge or"
H-300-22014-831909.pdf,"worker to prepare his own meals.   To be sufficient or adequate, the meals or food provided must include a daily source of protein, vitamins,"
H-300-22014-831909.pdf,7. TRANSPORTATION  AND DAILY SUBSISTENCE :  Employer agrees to provide the following transportation and daily subsistence benefits
H-300-22014-831909.pdf,"subsistence or otherwise has not yet paid the worker for such transportation or subsistence costs, the employer agrees to reimburse"
H-300-22014-831909.pdf,the worker for reasonable costs incurred by the worker for transportation and daily subsistence from the place from which the worker
H-300-22014-831909.pdf,"has come to work for the employer, whether in the U.S. or abroad to the place of employment.  The amount of the transportation"
H-300-22014-831909.pdf,payment must be no less (and is not required to be more) than the most economical and reasonable common carrier transportation
H-300-22014-831909.pdf,charges for the distances involved.  The amount the employer will pay for daily subsistence expenses are  those amounts disclosed in
H-300-22014-831909.pdf,"this clearance order, which are at least as much as the employer would charge the worker for providing the worker with three meals a"
H-300-22014-831909.pdf,understands that the F air Labor Standards Act applies independently of the H- 2A requirements and imposes obligations on employers
H-300-22014-831909.pdf,regarding payment of wages. 20 CFR 655.122(h)(1).
H-300-22014-831909.pdf,"employment, the employer agrees to provide or pay for the worker's transportation and daily subsistence from the place of employment"
H-300-22014-831909.pdf,"to the place from which the worker , disregarding intervening employment, departed to work for the employer.  Return transportation will"
H-300-22014-831909.pdf,H-2A Agricultural Clearance Order
H-300-22014-831909.pdf,H-2A Case Number: ___________ _______ __      Case Status: __________________       Determination Date : ___________ __     Validity Period : ____________ _ to ___________ __ If the worker has contracted with a subsequent employer who has not agreed in such work contract to provide or pay for the worker's
H-300-22014-831909.pdf,"transportation and daily subsistence expenses from the employer's worksite to such subsequent employer's worksite, the employer"
H-300-22014-831909.pdf,must provide for such expenses.  If the worker has contracted with a subsequent employer who has agreed in such work contract to
H-300-22014-831909.pdf,provide or pay for the worker's transportation and daily subsistence expenses from the employer's worksite to such subsequent
H-300-22014-831909.pdf,"employer's worksite, the subsequent employer must provide or pay for such expenses."
H-300-22014-831909.pdf,The employer is not relieved of its obligation to provide or pay for return transportation and subsistence if an H- 2A worker is displaced
H-300-22014-831909.pdf,cost to the worker. 20 CFR 655.122(h)(3).
H-300-22014-831909.pdf,D. Compliance with Transportation Standards
H-300-22014-831909.pdf,"Employer assures that al l employer- provided transportation will comply with all applicable Federal, State, or local laws and regulations."
H-300-22014-831909.pdf,"Employer agrees to provide, at a minimum, the same transportation safety standards, driver licensure, and vehicle insurance as"
H-300-22014-831909.pdf,"transportation, in lieu of vehicle insurance, the employer will ensure that such workers' compensation covers all travel or that vehicle"
H-300-22014-831909.pdf,insurance exists to provide coverage for travel not covered by workers' compensation.  Employer agrees to have property damage
H-300-22014-831909.pdf,8. THREE- FOURTHS GUARANTEE :  Employer agrees to offer the worker employment for a total number of work hours equal to at least
H-300-22014-831909.pdf,three- fourths of the workdays of the total period beginning with the first workday after the arrival of the worker at the place of employment or
H-300-22014-831909.pdf,"the advertised contractual first date of need, whichever is later, and ending on the expiration date specified in the work contract or in its"
H-300-22014-831909.pdf,"guarantee, the worker will not be required to work for more than the number of hours specified in the job order for a workday, or on the"
H-300-22014-831909.pdf,"worker's Sabbath or Federal holidays.  If, during the total work contract period, the employer affords the U.S. or H -2A worker less"
H-300-22014-831909.pdf,"employment than that required under this guarantee, the employer will pay such worker the amount the worker would have earned had the"
H-300-22014-831909.pdf,"worker, in fact, worked for the guaranteed number of days.   An employer will not be considered to have met the work guarantee if the"
H-300-22014-831909.pdf,empl oyer has merely offered work on three -fourths of the workdays if each workday did not consist of a full number of hours of work time as
H-300-22014-831909.pdf,specified in the job order.  All hours of work actually performed may be counted by the employer in calculating whether the period of
H-300-22014-831909.pdf,"order for a workday, when the worker has been offered an opportunity to work, and all hours of work actually performed (including voluntary"
H-300-22014-831909.pdf,"If the worker is paid on a piece rate basis, the employer agrees to use the worker's average hourly piece rate earnings or the required"
H-300-22014-831909.pdf,"If the worker voluntarily abandons employment before the end of the period of employment set forth in the job order, or is terminated for"
H-300-22014-831909.pdf,"20 CPR 655.135(d), which lasts until 50 percent of the period of the work contract has elapsed (50 percent rule).  20 CFR 655.122(i)."
H-300-22014-831909.pdf,"Important Note:  In circumstances where the work contract is terminated due to contract impossibility  under 20 CFR 655.122(o), the three-"
H-300-22014-831909.pdf,9. EARNINGS RECORDS :  Employer agrees to keep accurate and adequate records with respect to the workers' earnings at the place or
H-300-22014-831909.pdf,"places of employment, or at one or more  established central recordkeeping offices where such records are customarily maintained.  All"
H-300-22014-831909.pdf,"records must be available for inspection and transcription by the Department of Labor or a duly authorized and designated representative,"
H-300-22014-831909.pdf,and by the worker and representatives designated by the worker as evidenced by appropriate documentation.  Where the records are
H-300-22014-831909.pdf,"maintained at a central recordkeeping office, other than in the place or places of employment, such records must be made available for"
H-300-22014-831909.pdf,and by the worker and designated representatives.  The content of earnings records must meet all regulatory requirements and be retai ned
H-300-22014-831909.pdf,10. HOURS AND EARNINGS STATEMENTS:  Employer agrees to furnish to the worker on or before each payday in one or more written
H-300-22014-831909.pdf,statements the following information: (1) the worker's total earnings for the pay period; (2) the worker's hourly rate and/or piece rate of pay;
H-300-22014-831909.pdf,(3)the hours of employment offered to the worker (showing offers in accordance with the three- fourths guarantee as determined in 20 CFR
H-300-22014-831909.pdf,"pay period; and (8) the employer's name, address and FEIN.  20 CFR 655.122(k)."
H-300-22014-831909.pdf,"For workers engaged in the herding or production of livestock on the range, the employer is exempt from recording and furnishing the hours"
H-300-22014-831909.pdf,otherwise must comply with the earnings records and hours and earnings statement requirements set out in 20 CFR 655.122(j) and (k) .
H-300-22014-831909.pdf,The employer agrees to keep daily records indicating whether the site of the employee's work was on the range or off the range.  If the
H-300-22014-831909.pdf,"employer prorates a worker's wage because of the worker's voluntary absence for personal reasons, it must also keep a record of the"
H-300-22014-831909.pdf,H-2A Agricultural Clearance Order
H-300-22014-831909.pdf,"H-2A Case Number: ___________ _______ __      Case Status: __________________       Determination Date : ___________ __     Validity Period : ____________ _ to ___________ __ 11. RATES OF PAY:  The employer agrees that it will offer, advertise in its recruitment, and pay at least the Adverse Effect Wage Rate"
H-300-22014-831909.pdf,"(AEWR), the prevailing hourly wage rate, the prevailing piece rate, the agreed- upon collective bargaining rate, or the Federal or State"
H-300-22014-831909.pdf,"minimum wage rate, in effect at the time work is performed, whichever is highest.  If the worker is paid by the hour, the employer must pay"
H-300-22014-831909.pdf,this rate for every hour or portion thereof worked during a pay period.  If the offered wage(s) disclosed in this clearance order  is/are based
H-300-22014-831909.pdf,"equal or exceed the AEWR, prevailing hourly wage or piece rate, the legal Federal or State minimum wage, or any agreed -upon collective"
H-300-22014-831909.pdf,"bargaining rate, whichever is highest."
H-300-22014-831909.pdf,If the worker is paid on a piece rate basis and at the end of the pay period the piece rate does not result in average hourly piece rate
H-300-22014-831909.pdf,earnings during the pay period at least equal to the amount the worker would have earned had the worker been paid at the appr opriate
H-300-22014-831909.pdf,"hourly rate of pay, the employer agrees to supplement the worker's pay at that time so that the worker's earnings are at least as much as"
H-300-22014-831909.pdf,the worker would have earned during the pay period if the worker had instead been paid at the appropriate hourly wage rate for each hour
H-300-22014-831909.pdf,"For workers engaged in the herding or production of livestock on the range, the employer agrees to pay the worker at least the monthly"
H-300-22014-831909.pdf,"AEWR, the agreed-upon collective bargaining wage, or the applicable minimum wage imposed by Federal or State law or judicial action, in"
H-300-22014-831909.pdf,"effect at the time work is performed, whichever is highest, for every month of the job order period or portion thereof.  If the offered wage"
H-300-22014-831909.pdf,"disclosed in this clearance order is  based on commissions, bonuses, or other incentives, the employer as sures that the wage paid will equal"
H-300-22014-831909.pdf,"or exceed the monthly AEWR, the agreed -upon collective bargaining wage, or the applicable minimum wage imposed by Federal or State"
H-300-22014-831909.pdf,"law or judicial action, whichever is highest, and will be paid to each worker free and clear without any unauthorized deductions.  The"
H-300-22014-831909.pdf,employer may prorate the wage for the initial and final pay periods of the job order period if its pay period does not match the beginning or
H-300-22014-831909.pdf,ending dates of the job order.   The employer also may prorate the wage if an employee is voluntarily unavailable to work for personal
H-300-22014-831909.pdf,12. FREQUENCY OF PAY :  Employer agrees to pay workers when due based on the frequency disclosed in this clearance order.  20 CFR
H-300-22014-831909.pdf,"subsistence expenses of that worker, and that worker is not entitled to the three- fourths guarantee, if the employer notifies the Department"
H-300-22014-831909.pdf,"the Department of Homeland Security in the Federal Register, not later than 2 working days after the abandonment or termination occurs."
H-300-22014-831909.pdf,A worker  will be deemed to have abandoned the work contract if the worker  fails to show up for work at the regularly s cheduled time and
H-300-22014-831909.pdf,"terminated, the employer agrees to fulfill  the three-fourths guarantee for the time that has elapsed from the start date of work specified in"
H-300-22014-831909.pdf,"employment acceptable to the worker and consistent with existing immigration laws.  In situations where a transfer is not affected, the"
H-300-22014-831909.pdf,"employer agrees to return the worker at the employer’s expense to the place from which the worker, disregarding intervening employment,"
H-300-22014-831909.pdf,subsistence expenses to the place of employment .  The employer will also pay the worker for any transportation and subsistence expenses
H-300-22014-831909.pdf,incurred by the worker to that employer’s place of employment.  The amounts the employer will pay for subsistence expenses per day are
H-300-22014-831909.pdf,those amounts disclosed in this  clearance order .  The amount of the transportation payment must not be less (and is not required to be
H-300-22014-831909.pdf,more) than the most economical and reasonable common carrier transportation charges for the distances involved. 20 CFR 655.122(o).
H-300-22014-831909.pdf,The employer is not required to pay for transportation and daily subsistence from the place of employment to a subsequent employer’s
H-300-22014-831909.pdf,subsistence expenses from the present employer’s worksite to the subsequent employer’s worksite.   20 CFR 655.122(h)(2).
H-300-22014-831909.pdf,"reasonable, in accordance with 20 CFR 655.122(p) and 29 CFR part 531.  The wage requirements of 20 CFR 655.120 will not be met"
H-300-22014-831909.pdf,"understood by the worker, as necessary or reasonable.  In the absence of a separate, written work contract entered into between the"
H-300-22014-831909.pdf,"employer and the worker, the required terms of this clearance order , including all Addendums, and the certified H-2A Application for"
H-300-22014-831909.pdf,H-2A Agricultural Clearance Order
H-300-22014-831909.pdf,H-2A Case Number: ___________ _______ __      Case Status: __________________       Determination Date : ___________ __     Validity Period : ____________ _ to ___________ __ 17. ADDITIONAL ASSURANCES FOR CLEARANCE ORDERS :
H-300-22014-831909.pdf,A. Employer agrees to provide to workers referred through the clearance system the number of hours of work disclosed in this clearance
H-300-22014-831909.pdf,"order for the week beginning with the anticipated date of need, unless the employer has amended the date of need at least 10"
H-300-22014-831909.pdf,"business days before the original date of need by so notifying the Order -Holding Office (OHO) in writing (e.g., e-mail notification).  The"
H-300-22014-831909.pdf,employer understands that it is the responsibility of the SWA to make a record of all notifications and attempt to inform referred
H-300-22014-831909.pdf,"If there is a change to the anticipated date of need, and the employer fails to notify the OHO at least 10 business days before the"
H-300-22014-831909.pdf,"original date of need, the employer agrees that it will pay eligible workers referred through the clearance system the specified rate of"
H-300-22014-831909.pdf,pay disclosed in this clearance order for the first week starting with the originally anticipated date of need or will provide alternative
H-300-22014-831909.pdf,work if such alternative work is stated on the clearance order.  20 CFR 653.501(c)(5).
H-300-22014-831909.pdf,B. Employer agrees that no extension of employment beyond the period of employment specified in the clearance order will relieve it from
H-300-22014-831909.pdf,"paying the wages already earned, or if specified in the clearance order as a term of employment, providing transportation from the"
H-300-22014-831909.pdf,"C. E mployer assures that all working conditions comply with applicable Federal and State minimum wage, child labor, social securi ty,"
H-300-22014-831909.pdf,"health and safety, farm labor contractor registration, and other employment-related laws.  20 CFR 653.501(c)(3)(iii)."
H-300-22014-831909.pdf,"maturing earlier or later, or that weather conditions, over -recruitment, or other factors have changed the terms and conditions of"
H-300-22014-831909.pdf,"E. If acting as a farm labor contractor (FLC) or farm labor contractor employee (FLCE) on this clearance order , the employer assures that"
H-300-22014-831909.pdf,"it has a valid Federal FLC certificate or Federal FLCE identification card and when appropriate, any required State FLC certificate.  20"
H-300-22014-831909.pdf,F. Employer assures that outreach workers will have reasonable access to the workers in the conduct of outreach activities pursuant to
H-300-22014-831909.pdf,"of perjury that I have read and reviewed this  clearance order, including every page of this Form ETA -790A and all"
H-300-22014-831909.pdf,"supporting addendums, and that to the best of my knowledge, the information contained therein is true and accurate.  T his clearance order"
H-300-22014-831909.pdf,20 CFR 653.501(c)(3)(viii).  I understand that to knowingly furnish materially false information in the preparation of this form and any supplement
H-300-22014-831909.pdf,1.Last (family)  name * 2.First (given)  name * 3.Middle  initial  §
H-300-22014-831909.pdf,Employment Service Statement
H-300-22014-831909.pdf,"In view of the statutorily established basic function of the Employment Service (ES) as a no- fee labor exchange, that is, as a forum for bringing"
H-300-22014-831909.pdf,"together employers and job seekers, neither the Department of Labor’s Employment and Training Administration (ETA) nor the SWAs are"
H-300-22014-831909.pdf,guarantors of the accuracy or truthfulness of information contained on job orders submitted by employers.  Nor does any job order accepted or
H-300-22014-831909.pdf,recruited upon by the ES constitute a contractual job offer to which the ETA or a SWA is in any way a party.  20 CFR 653.501( c)(1)(i).
H-300-22014-831909.pdf,Public Burden Statement (1205-0466)
H-300-22014-831909.pdf,"burden for this collection of information is estimated to average .63 hours per response for all information collection requirements, including the"
H-300-22014-831909.pdf,"time for reviewing instructions, searching existing data sources, gathering and maintaining the data needed, and completing, reviewing, and submitting the collection of information.  The obligation to respond to this data collection is required to obtain/retain benefits (44 U.S.C. 3501,"
H-300-22014-831909.pdf,"Immigration and Nationality Act, 8 U.S.C. 1101, et seq.).  Send comments regarding this burden estimate or any other aspect of this collection of information, including suggestions for reducing this burden, to the U.S. Department of Labor, Employment and Training Administration, Office of"
H-300-22014-831909.pdf,"Foreign Labor Certification, 200 Constitution Ave., NW, Suite PPII 12- 200, Washington, DC, 20210.  (Paperwork R eduction Project OMB 1205-"
H-300-22014-831909.pdf,0466).  DO NOT send the completed application to this address.
H-300-22014-831909.pdf,H-2A Agricultural Clearance Order
H-300-22014-831909.pdf,H-2A Case Num ber: ____________________   Case Sta tus: __________________         Determ ination Date: _____________        Validity P e riod: _____________ t o ___________ __ C.Additional Place of Employment  Information
H-300-22014-831909.pdf,Flying Hawk Rd & Red Bud Road
H-300-22014-831909.pdf,2518-2890 Lucy Moore Rd
H-300-21253-577257.pdf,H-2A Agricultural Clearance Order
H-300-21253-577257.pdf,H-2A Case Number: ___________ _______ __      Case Status: __________________       Determination Date : ___________ __     Validity Period : ____________ _ to ___________ __ A.Job Offer Information
H-300-21253-577257.pdf,"If “Yes” , proceed to question 8.  If “No”, complete questions 6 and 7 below.Yes     No"
H-300-21253-577257.pdf,b. Sunday d. Tuesday f. Thursday h. Saturday b. ____ : _____  AM
H-300-21253-577257.pdf,"11. Sta te all deduction(s) from pay and, if known, the amount(s). *"
H-300-21253-577257.pdf,"The workers will be picking and planting potatoes by hand according to shape, color, firmness, size, maturity level,"
H-300-21253-577257.pdf,and/or ripeness. Workers will be doing all aspects of of potato harvesting in the potato fields. Other duties may
H-300-21253-577257.pdf,repairing and/or installing irrigation lines in the potato fields. All tools will be provided at no cost to the workers.
H-300-21253-577257.pdf,H-2A Agricultural Clearance Order
H-300-21253-577257.pdf,H-2A Case Number: ___________ _______ __      Case Status: __________________       Determination Date : ___________ __     Validity Period : ____________ _ to ___________ __ B. Minimum Job Qualifications/Requirements
H-300-21253-577257.pdf,"None   High School/GED   Associate’s   Bachelor’s   Master's  or Higher    Other  degree  (JD, MD, etc.)"
H-300-21253-577257.pdf,b.  Driver requirements
H-300-21253-577257.pdf,d.  Drug screen
H-300-21253-577257.pdf,j.   Frequent stooping or bending over
H-300-21253-577257.pdf,"the work of  other employees? * Yes    No5b.  If “Yes” to question 5a, enter the n umber"
H-300-21253-577257.pdf,6.Additional Information Regarding Job Qualifications/ Requirements .
H-300-21253-577257.pdf,1. Address/Location  *
H-300-21253-577257.pdf,2. City * 3. State * 4. Postal Code * 5.County *
H-300-21253-577257.pdf,attached to this job order?  *Yes     No
H-300-21253-577257.pdf,1.Housing  Address/Location  *
H-300-21253-577257.pdf,2. City * 3. State * 4. Postal Code * 5.County *
H-300-21253-577257.pdf,9.Housing complies or will comply with the following applicable standards: * Local       State       Federal
